timestamp,latitude,longitude,altitude_m,ground_speed_mps,vertical_speed_mps,roll_deg,pitch_deg,yaw_deg,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_accuracy_m,satellite_count,battery_voltage_v,battery_current_a,battery_percent,flight_mode,wind_speed_mps,payload_kg,aircraft_model
2026-05-16T14:32:00Z,43.6532,-79.3832,30.0,4.2,0.25,0.8,1.7,85.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.39,8.0,93.92,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:01Z,43.653206,-79.383196,30.4,4.25,0.25,1.0,1.85,85.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.38,8.2,93.84,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:02Z,43.653211999999996,-79.38319200000001,30.8,4.3,0.25,1.2,2.0,86.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.37,8.4,93.76,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:03Z,43.653217999999995,-79.383188,31.2,4.2,0.25,1.4,2.15,86.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.36,8.6,93.68,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:04Z,43.653224,-79.383184,31.6,4.25,0.25,0.8,2.3,87.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.35,8.0,93.6,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:05Z,43.65323,-79.38318,32.0,4.3,0.25,1.0,1.7,87.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.34,8.2,93.52,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:06Z,43.653236,-79.383176,32.4,4.2,0.25,1.2,1.85,88.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.33,8.4,93.44,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:07Z,43.653242,-79.383172,32.8,4.25,0.25,1.4,2.0,88.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.32,8.6,93.36,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:08Z,43.653248,-79.383168,33.2,4.3,0.25,0.8,2.15,89.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.31,8.0,93.28,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:09Z,43.653254,-79.38316400000001,33.6,4.2,0.25,1.0,2.3,89.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.3,8.2,93.2,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:10Z,43.653259999999996,-79.38316,34.0,4.25,0.25,1.2,1.7,90.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.29,8.4,93.12,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:11Z,43.653265999999995,-79.383156,34.4,4.3,0.25,1.4,1.85,90.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.28,8.6,93.04,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:12Z,43.653272,-79.383152,34.8,4.2,0.25,0.8,2.0,91.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.27,8.0,92.96,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:13Z,43.653278,-79.383148,35.2,4.25,0.25,1.0,2.15,91.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.26,8.2,92.88,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:14Z,43.653284,-79.383144,35.6,4.3,0.25,1.2,2.3,92.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.25,8.4,92.8,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:15Z,43.65329,-79.38314,36.0,4.2,0.25,1.4,1.7,92.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.24,8.6,92.72,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:16Z,43.653296,-79.38313600000001,36.4,4.25,0.25,0.8,1.85,93.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.23,8.0,92.64,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:17Z,43.653302,-79.383132,36.8,4.3,0.25,1.0,2.0,93.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.22,8.2,92.56,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:18Z,43.653307999999996,-79.383128,37.2,4.2,0.25,1.2,2.15,94.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.21,8.4,92.48,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:19Z,43.653314,-79.383124,37.6,4.25,0.25,1.4,2.3,94.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.2,8.6,92.4,AUTO,4.0,0.8,sample-quad
2026-05-16T14:32:20Z,43.65332,-79.38312,38.0,4.3,-0.12,0.8,1.7,95.0,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.19,8.0,92.32,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:21Z,43.653326,-79.383116,37.85,4.2,-0.12,1.0,1.85,95.5,0.1,0.2,9.8,0.02,0.03,0.04,2.5,12,16.18,8.2,92.24,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:22Z,43.653332,-79.383112,37.7,8.75,-2.8,21.2,16.0,96.0,4.0,3.0,12.0,1.4,1.1,1.3,2.5,12,16.17,24.0,92.16,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:23Z,43.653338,-79.38310800000001,37.55,8.8,-2.8,24.4,16.15,96.5,4.0,3.0,12.0,1.4,1.1,1.3,2.5,12,16.16,24.0,92.08,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:24Z,43.653344,-79.383104,37.4,8.7,-2.8,26.8,16.3,97.0,4.0,3.0,12.0,1.4,1.1,1.3,2.5,12,16.15,24.0,92.0,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:25Z,43.653349999999996,-79.3831,37.25,8.75,-2.8,30.0,15.7,97.5,4.0,3.0,12.0,1.4,1.1,1.3,2.5,12,16.14,24.0,91.92,AUTO,9.0,0.8,sample-quad
2026-05-16T14:32:26Z,43.653355999999995,-79.38309600000001,37.1,4.3,-0.12,1.2,1.85,98.0,0.1,0.2,9.8,0.02,0.03,0.04,14.0,5,15.59,30.0,89.42,AUTO,9.0,0.8,sample-quad
